"SAMPLEID","BFI","LAT","LONG","STATIONID","COLLDATE","INDEX_REGION_LONG","INDEX_REGION","INDEX_NAME","ni_total","nt_LOW_N","nt_LOW_P","pi_Tol_13","pt_Achnan_Navic","pt_BC_12","pt_O_345","pt_PT_12","pt_SALINITY_34","pt_Sens_810"
"AB01165",47.23159057,41.59702561,-84.97181104,"LMJ110-0124","9/8/2010","High_Lithologic_Nitrogen","HIN","IDEM_2021_Diatoms",600,2,3,13.9414802065404,25,8.33333333333333,40,15,13.3333333333333,18.3333333333333
"AB01166",57.12444966,41.58360141,-85.21885978,"LMJ110-0125","9/8/2010","High_Lithologic_Nitrogen","HIN","IDEM_2021_Diatoms",600,6,4,18.6832740213523,14.2857142857143,17.1428571428571,42.8571428571429,15.7142857142857,15.7142857142857,12.8571428571429
"AB01167",69,41.64478025,-85.91282663,"LMJ210-0030","9/1/2010","High_Lithologic_Nitrogen","HIN","IDEM_2021_Diatoms",600,2,1,5.80204778156997,31.1111111111111,15.5555555555556,24.4444444444444,6.66666666666667,15.5555555555556,17.7777777777778
"AB01170",31.08820295,41.22916608,-84.85066921,"LEM010-0050","9/15/2010","High_Lithologic_Nitrogen","HIN","IDEM_2021_Diatoms",600,2,2,19.4957983193277,17.910447761194,7.46268656716418,29.8507462686567,14.9253731343284,20.8955223880597,26.865671641791
"AB01171",43,41.53546439,-84.8615209,"LEJ050-0066","9/7/2010","High_Lithologic_Nitrogen","HIN","IDEM_2021_Diatoms",600,2,3,12.1739130434783,29.5081967213115,16.3934426229508,26.2295081967213,8.19672131147541,21.3114754098361,16.3934426229508
"AB01172",40,41.3879695,-85.08570954,"LEJ090-0040","9/9/2010","High_Lithologic_Nitrogen","HIN","IDEM_2021_Diatoms",59,1,0,7.01754385964912,12.5,4.16666666666667,54.1666666666667,20.8333333333333,25,8.33333333333333
"AB01173",37,41.28242036,-85.14240761,"LEJ090-0041","9/13/2010","High_Lithologic_Nitrogen","HIN","IDEM_2021_Diatoms",600,2,1,32.4090121317158,21.7948717948718,10.2564102564103,30.7692307692308,11.5384615384615,21.7948717948718,24.3589743589744
"AB01173(B)",37,41.28242036,-85.14240761,"LEJ090-0041","9/13/2016","High_Lithologic_Nitrogen","HIN","IDEM_2021_Diatoms",600,5,3,24.9146757679181,23.1884057971014,14.4927536231884,34.7826086956522,13.0434782608696,21.7391304347826,24.6376811594203
"AB01174",40.16110652,41.46349867,-84.81128336,"LEJ050-0068","9/7/2010","High_Lithologic_Nitrogen","HIN","IDEM_2021_Diatoms",600,1,1,9.8471986417657,24.390243902439,9.75609756097561,31.7073170731707,21.9512195121951,17.0731707317073,19.5121951219512
"AB01175",45,41.47271817,-85.10511995,"LEJ080-0016","9/9/2010","High_Lithologic_Nitrogen","HIN","IDEM_2021_Diatoms",600,5,3,22.0735785953177,25.3731343283582,11.9402985074627,38.8059701492537,11.9402985074627,17.910447761194,14.9253731343284
